Code,Name,Market,Marcap
029480,광무,KOSDAQ,138548386240
014530,극동유화,KOSPI,138431597400
036010,아비코전자,KOSDAQ,138246513600
005800,신영와코루,KOSPI,138060000000
004140,동방,KOSPI,137918827250
016710,대성홀딩스,KOSPI,137564874450
092040,아미코젠,KOSDAQ,137283416941
007210,벽산,KOSPI,137256000000
035000,HS애드,KOSPI,137116668240
089600,KT나스미디어,KOSDAQ,136735686660
074430,아미노로직스,KOSDAQ,136395088732
100130,동국S&C,KOSDAQ,136286055000
093640,케이알엠,KOSDAQ,136256609820
205100,엑셈,KOSDAQ,136064234432
317770,엑스페릭스,KOSDAQ,135912380125
014790,HL D&I,KOSPI,135912377590
019180,티에이치엔,KOSPI,135540000000
059120,아진엑스텍,KOSDAQ,135311387740
013570,디와이,KOSPI,135282913620
309960,LB인베스트먼트,KOSDAQ,135124330980
290720,푸드나무,KOSDAQ,134869025280
035080,그래디언트,KOSDAQ,134546212680
095270,웨이브일렉트로,KOSDAQ,134381996100
019680,대교,KOSPI,134338720100
123690,한국화장품,KOSPI,134328480000
003310,대주산업,KOSDAQ,134137006500
225530,HC보광산업,KOSDAQ,134089902630
012800,대창,KOSPI,133976533530
067900,와이엔텍,KOSDAQ,133767493650
014710,사조씨푸드,KOSPI,133615893680
007110,일신석재,KOSPI,133612652250
014160,대영포장,KOSPI,133433689819
016740,두올,KOSPI,133334211600
000440,중앙에너비스,KOSDAQ,133260582000
267290,경동도시가스,KOSPI,133236175600
002460,HS화성,KOSPI,133168000000
067830,세이브존I&C,KOSPI,132562090850
004080,신흥,KOSPI,132352000000
088390,이녹스,KOSDAQ,132340400400
067990,도이치모터스,KOSDAQ,132338329250
036580,팜스코,KOSPI,132220594800
269620,시스웍,KOSDAQ,132090012299
337930,젝시믹스,KOSDAQ,131911931375
463020,뉴엔AI,KOSDAQ,131856120000
005870,휴니드,KOSPI,131843580100
432470,케이엔에스,KOSDAQ,131310193320
163730,핑거,KOSDAQ,130751295200
095720,웅진씽크빅,KOSPI,130702296650
053580,웹케시,KOSDAQ,130362530880
047820,초록뱀미디어,KOSDAQ,130339446900
004100,태양금속,KOSPI,129918000000
052260,현대바이오랜드,KOSDAQ,129900000000
089230,THE E&M,KOSDAQ,129848840550
013310,아진산업,KOSDAQ,129808016790
078890,가온그룹,KOSDAQ,129711598720
054050,농우바이오,KOSDAQ,129687238490
032300,한국파마,KOSDAQ,129680674890
023900,풍국주정,KOSDAQ,129654000000
950130,엑세스바이오,KOSDAQ,129595102920
330350,위더스제약,KOSDAQ,129512983590
049520,유아이엘,KOSDAQ,129384811875
014580,태경비케이,KOSPI,128399330500
489460,바이오비쥬,KOSDAQ,128028099300
063080,컴투스홀딩스,KOSDAQ,127946724800
117670,알파칩스,KOSDAQ,127705594140
366030,공구우먼,KOSDAQ,127314637000
063170,서울옥션,KOSDAQ,127263751720
139990,아주스틸,KOSPI,127117757920
389140,포바이포,KOSDAQ,127000641500
100700,세운메디칼,KOSDAQ,126801000000
009780,엠에스씨,KOSDAQ,126720000000
37550L,DL이앤씨2우(전환),KOSPI,126717060000
120030,조선선재,KOSPI,126268160400
036690,코맥스,KOSDAQ,125692107675
038540,상상인,KOSDAQ,125595270510
339950,아이비김영,KOSDAQ,125401167450
081180,쎄크,KOSDAQ,125146086300
248170,샘표식품,KOSPI,124485793500
109740,디에스케이,KOSDAQ,124438287600
048530,인트론바이오,KOSDAQ,124401019170
086710,선진뷰티사이언스,KOSDAQ,124351423200
396470,워트,KOSDAQ,123962800000
251120,바이오에프디엔씨,KOSDAQ,123739811000
265740,엔에프씨,KOSDAQ,123616112000
001290,상상인증권,KOSPI,123612653920
417970,모델솔루션,KOSDAQ,123584244000
073560,우리손에프앤지,KOSDAQ,123312242183
002220,한일철강,KOSPI,123075290600
023800,인지컨트롤스,KOSPI,122995552660
223250,드림씨아이에스,KOSDAQ,122756215560
229500,노브메타파마,KONEX,122636840700
059210,메타바이오메드,KOSDAQ,122407359725
381620,제닉스로보틱스,KOSDAQ,122390193600
100590,머큐리,KOSDAQ,122376351300
305090,마이크로디지탈,KOSDAQ,122355461900
101670,하이드로리튬,KOSDAQ,122354837985
011000,진원생명과학,KOSPI,122328392822
396300,세아메카닉스,KOSDAQ,122249042500
131400,이브이첨단소재,KOSDAQ,122163358100
015590,DKME,KOSPI,122045495160
001020,페이퍼코리아,KOSPI,121028652840
0015N0,아로마티카,KOSDAQ,120538674000
044990,에이치엔에스하이텍,KOSDAQ,120276901250
267850,아시아나IDT,KOSPI,120102000000
026150,특수건설,KOSDAQ,119841440730
053260,금강철강,KOSDAQ,119808000000
024740,한일단조,KOSDAQ,119745258360
411080,샌즈랩,KOSDAQ,119545605540
099750,이지케어텍,KOSDAQ,119107988560
294630,서남,KOSDAQ,118912098690
451220,아이엠티,KOSDAQ,118906626100
388870,파로스아이바이오,KOSDAQ,118714196440
036420,콘텐트리중앙,KOSPI,118463194200
018120,진로발효,KOSDAQ,118451836800
034590,인천도시가스,KOSPI,118337095700
042500,링네트,KOSDAQ,117697240320
418470,KT밀리의서재,KOSDAQ,117522625080
227840,현대코퍼레이션홀딩스,KOSPI,117491792760
003580,HLB글로벌,KOSPI,117286014075
014970,삼륭물산,KOSDAQ,117218750000
033290,로젠,KOSDAQ,117085887585
308080,바이젠셀,KOSDAQ,116640789400
142210,유니트론텍,KOSDAQ,116622884860
051160,지어소프트,KOSDAQ,116522457900
084670,동양고속,KOSPI,116401873800
058850,KTcs,KOSPI,116316625000
017370,우신시스템,KOSPI,116294242900
370090,퓨런티어,KOSDAQ,116116183100
277880,티에스아이,KOSDAQ,116082790200
041590,플래스크,KOSDAQ,116064014460
298540,더네이쳐홀딩스,KOSDAQ,116035951860
000230,일동홀딩스,KOSPI,115981020000
096240,크레버스,KOSDAQ,115972344000
078140,대봉엘에스,KOSDAQ,115965616340
002450,삼익악기,KOSPI,115789040285
038460,바이오스마트,KOSDAQ,115777638150
424960,스마트레이더시스템,KOSDAQ,115560621100
091120,이엠텍,KOSDAQ,115475988640
278650,HLB바이오스텝,KOSDAQ,114966656896
067290,JW신약,KOSDAQ,114876061150
208370,셀바스헬스케어,KOSDAQ,114802915440
448710,코츠테크놀로지,KOSDAQ,114690836400
086960,MDS테크,KOSDAQ,114502048300
330730,스톤브릿지벤처스,KOSDAQ,114407972400
217330,싸이토젠,KOSDAQ,114028666710
024880,케이피에프,KOSDAQ,113919560100
002200,한국수출포장,KOSPI,113810000000
048550,SM C&C,KOSDAQ,113736393120
010660,화천기계,KOSPI,113520000000
101330,모베이스,KOSDAQ,113304706955
377480,마음AI,KOSDAQ,113266680750
439580,블루엠텍,KOSDAQ,113216699715
317830,에스피시스템스,KOSDAQ,113125089000
084650,랩지노믹스,KOSDAQ,113067504770
030960,양지사,KOSDAQ,112978600000
413390,엠오티,KOSDAQ,112790953200
006840,AK홀딩스,KOSPI,112736744110
072950,빛샘전자,KOSDAQ,112736540000
362320,청담글로벌,KOSDAQ,112736375700
079980,휴비스,KOSPI,112470000000
066700,테라젠이텍스,KOSDAQ,112200175520
238090,앤디포스,KOSDAQ,111899914800
065530,와이어블,KOSDAQ,111703502265
008700,아남전자,KOSPI,111599614540
013360,일성건설,KOSPI,111561377200
950190,고스트스튜디오,KOSDAQ,111556195630
347860,알체라,KOSDAQ,111294012875
205500,넥써쓰,KOSDAQ,111170379666
201490,미투온,KOSDAQ,110818954000
419050,삼기에너지솔루션즈,KOSDAQ,110674724400
039340,한국경제TV,KOSDAQ,110660000000
001275,부국증권우,KOSPI,110100000000
303810,동국생명과학,KOSDAQ,109865520900
172670,에이엘티,KOSDAQ,109852775340
096350,대창솔루션,KOSDAQ,109642916950
011810,STX,KOSPI,109493282310
011370,서한,KOSDAQ,109470928525
059270,해성에어로보틱스,KOSDAQ,109084971230
008260,NI스틸,KOSPI,108966445770
063160,종근당바이오,KOSPI,108841486080
264900,크라운제과,KOSPI,108832256500
382480,지아이텍,KOSDAQ,108822492100
253840,수젠텍,KOSDAQ,108495936000
163560,동일고무벨트,KOSPI,108281000000
311320,지오엘리먼트,KOSDAQ,108106779200
315640,딥노이드,KOSDAQ,108089813760
006140,피제이전자,KOSDAQ,108000000000
149980,하이로닉,KOSDAQ,107879307670
039980,폴라리스AI,KOSDAQ,107785367256
191420,테고사이언스,KOSDAQ,107766403860
004840,DRB동일,KOSPI,107732514760
382150,온코크로스,KOSDAQ,107568340740
460940,피앤에스로보틱스,KOSDAQ,107501942800
348080,큐라티스,KOSDAQ,107368296330
001540,안국약품,KOSDAQ,106817419800
040910,아이씨디,KOSDAQ,106802081250
